,tp,fp,fn,recall,precision,f1,acc
molerats,29.0,3.0,3.0,0.90625,0.90625,0.90625,0.90625
apt17,20.0,0.0,0.0,1.0,1.0,1.0,1.0
lazarus groups,0.0,2.0,0.0,0.0,0.0,0.0,0.0
aapt30,0.0,1.0,0.0,0.0,0.0,0.0,0.0
apt28,261.0,0.0,1.0,0.9961832061068703,1.0,0.9980879541108987,0.9961832061068703
msupdater,0.0,0.0,7.0,0.0,0.0,0.0,0.0
carbanak,257.0,0.0,1.0,0.9961240310077519,1.0,0.9980582524271845,0.9961240310077519
panda group,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cozy duke,0.0,1.0,0.0,0.0,0.0,0.0,0.0
regedt32,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ment group,0.0,1.0,0.0,0.0,0.0,0.0,0.0
apt16,14.0,0.0,0.0,1.0,1.0,1.0,1.0
darkhotels,0.0,1.0,0.0,0.0,0.0,0.0,0.0
chinastrats,0.0,0.0,1.0,0.0,0.0,0.0,0.0
arid viper,0.0,5.0,0.0,0.0,0.0,0.0,0.0
admin@338,68.0,0.0,0.0,1.0,1.0,1.0,1.0
pony loader,0.0,1.0,0.0,0.0,0.0,0.0,0.0
threat group,0.0,1.0,0.0,0.0,0.0,0.0,0.0
threat group-3279,0.0,1.0,0.0,0.0,0.0,0.0,0.0
taidoor1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"panda,",0.0,2.0,0.0,0.0,0.0,0.0,0.0
quedagh/,0.0,2.0,0.0,0.0,0.0,0.0,0.0
dragonok,32.0,0.0,1.0,0.9696969696969697,1.0,0.9846153846153847,0.9696969696969697
pawn storm,109.0,0.0,0.0,1.0,1.0,1.0,1.0
comments crew,0.0,1.0,0.0,0.0,0.0,0.0,0.0
unknown logger,0.0,11.0,0.0,0.0,0.0,0.0,0.0
poisonous panda,0.0,1.0,0.0,0.0,0.0,0.0,0.0
energetic bear,27.0,0.0,1.0,0.9642857142857143,1.0,0.9818181818181818,0.9642857142857143
temper panda,0.0,1.0,0.0,0.0,0.0,0.0,0.0
toxic panda,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tg-0110,2.0,0.0,1.0,0.6666666666666666,1.0,0.8,0.6666666666666666
energetic bear/,0.0,2.0,0.0,0.0,0.0,0.0,0.0
